sb	name	pv	pos_peak	pos_avg	pos_ngy	neg_peak	neg_avg	neg_cnt	neg_ngy	mwh 	mw1	max pw	trxno	lat+long	DT	MT1	MT3	E5:GWh	E2:GWh	SPP	VSPP	REPL

ระยอง
BVU	บ่อทอง (ช)	ชลบุรี	28.880001	14.658112	63571.895	8.26	3.051484	35593	186.40248	0	0	25	1	https://maps.google.com/?q=13.3151,101.3231	992	11570	432	462	413	0	1	0
CBA	ชลบุรี 1	ชลบุรี	102.18	36.06011	157942.39	1.43	1.43	1	0.3575	0	0	100	2	https://maps.google.com/?q=13.3390,100.9914	991	27006	2195	500	445	0	0	0
CBB	ชลบุรี 2	ชลบุรี	80.799995	39.579185	173197.23	2.08	2.08	209	16.999996	0	0	100	2	https://maps.google.com/?q=13.4097,100.9999	1778	42783	3951	919	818	2	0	0
CBC	ชลบุรี 3	ชลบุรี	93.46999	35.99743	157603.97	1.0799999	0.5119828	99	7.745	0	0	100	2	https://maps.google.com/?q=13.4499,100.9991	1026	19372	1298	1148	1025	0	0	0
CBD	ชลบุรี 4	ชลบุรี	59.700005	19.601627	85313.19	16.380001	10.046167	653	292.94998	0	0	100	2	https://maps.google.com/?q=13.3704,101.0349	757	21446	1179	419	372	0	0	0
CHT	จอมเทียน 1	ชลบุรี	84.68001	22.43282	97744.26	5.11	2.4556336	498	79.43249	0	0	100	2	https://maps.google.com/?q=12.8588,100.9220	1213	21248	3023	741	661	0	1	0
CHU	จอมเทียน 2	ชลบุรี	71.12	24.872105	108791.414	19.71	15.184103	224	256.7825	0	0	100	2	https://maps.google.com/?q=12.9000,100.8989	1028	29629	3501	637	569	0	0	0
KMK	เขาไม้แก้ว	ชลบุรี	85.7	17.268679	75600.516	13.94	12.4133625	55	57.842503	0	0	100	2	https://maps.google.com/?q=12.9175,101.0316	1373	13389	1762	852	761	2	0	0
KPO	เกาะโพธิ์	ชลบุรี	81.27	26.984753	118186.65	9.57	8.982666	11	12.184999	0	0	100	2	https://maps.google.com/?q=13.4187,101.2831	1270	20159	709	828	740	0	0	0
LCB	แหลมฉบัง 2	ชลบุรี	85.079994	33.307743	145870.92	0.82	0.438	15	1.6424999	0	0	100	2	https://maps.google.com/?q=13.0754,100.9206	1198	23332	1642	718	640	1	0	0
PSA	พนัสนิคม	ชลบุรี	112.12001	35.92344	157343.14	0.34	0.34	1	0.085	0	0	100	2	https://maps.google.com/?q=16.0502,100.1166	1672	37269	2028	613	546	0	1	0
PTP	พานทอง 2	ชลบุรี	88.479996	43.480858	190443.94	4.56	4.56	3	1.14	35	17.5	100	2	https://maps.google.com/?q=13.4213,101.1016	1844	41456	1768	1871	1669	0	0	0
PYG	พัทยากลาง	ชลบุรี	90.52999	25.693464	112530.25	21.68	12.446385	22	7.9500003	0	0	150	3	https://maps.google.com/?q=12.9353,100.8912	541	5326	1377	489	437	0	0	0
PYN	พัทยาเหนือ 1	ชลบุรี	95.920006	23.12507	101285.55	4.8199997	4.8199997	4	1.2049999	0	0	100	2	https://maps.google.com/?q=12.9561,100.9073	1096	22264	2923	638	568	0	0	0
PYO	พัทยาเหนือ 2	ชลบุรี	72.83	34.158936	149550.97	15.31	8.037701	120	94.115005	0	0	100	2	https://maps.google.com/?q=12.9795,100.9576	172	4122	293	49	43	0	0	0
PYT	พัทยาใต้ 1	ชลบุรี	34.48	2.0686398	9060.161	17.18	12.224001	879	805.80756	0	0	100	2	https://maps.google.com/?q=12.9170,100.8673	1256	25785	3764	944	843	0	0	0
PYU	พัทยาใต้ 2	ชลบุรี	101.619995	33.054077	144770.77	11.120001	9.66	8	2.7824998	0	0	100	2	https://maps.google.com/?q=12.9221,100.8834	858	13676	2684	523	467	0	0	0
SCA	ศรีราชา 1	ชลบุรี	113.68001	46.851135	205151.19	8.32	6.70359	40	51.870003	38	19	100	2	https://maps.google.com/?q=13.1605,100.9435	1644	48658	3532	789	701	0	0	0

กระบี่
ALA	อ่าวลึก	กระบี่	52.25	13.709565	58105.273	14.890001	6.656503	6701	899.04645	0	0	50	1	https://maps.google.com/?q=8.4204,98.7396	1810	35584	697	464	414	0	4	0
KBA	กระบี่ 1	กระบี่	94.009995	17.015186	62319.07	15.28	5.506432	18780	16241.087	0	0	100	2	https://maps.google.com/?q=8.0564,99.0204	1692	34992	862	454	406	0	6	0
KBB	กระบี่ 2	กระบี่	124.69	39.724766	173708	7.87	5.7575607	497	309.0225	24	12	100	2	https://maps.google.com/?q=8.0949,98.8894	2539	51167	3436	1287	1150	0	0	0
KTM	คลองท่อม	กระบี่	69.67	19.63424	68855.85	36.130005	1.720919	23669	1463.4706	0	0	100	2	https://maps.google.com/?q=7.8659,99.1525	2039	39921	1310	506	453	0	6	0

สระแก้ว
ARA	อรัญประเทศ 1	สระแก้ว	74.73	14.920713	60222.03	44.760002	15.192354	27282	13154.4375	5	2.5	90	2	https://maps.google.com/?q=13.7246,102.4759	1493	48501	1327	366	325	0	0	0
ARB	อรัญประเทศ 2	สระแก้ว	64.92999	22.99501	100689.01	7.66	5.4789324	1011	542.82764	7	3.5	100	2	https://maps.google.com/?q=13.6746,102.5452	491	13194	570	185	165	0	0	0
SKW	สระแก้ว	สระแก้ว	81.53	23.753197	78215.12	38.99	12.36698	28370	16834.521	0	0	100	2	https://maps.google.com/?q=13.8944,101.9871	1665	42569	1120	703	627	0	0	0
WNA	วัฒนานคร	สระแก้ว	66.41	14.409707	56656.83	33.14	13.534362	16560	14113.048	0	0	50	2	https://maps.google.com/?q=13.7687,102.2423	1633	44091	1080	531	474	0	0	0
