ระยอง
ฉะเชิงเทรา	SNK	0	101359.82	1	1726	38649
ฉะเชิงเทรา	PHA	0	158343.98	197	1509	34510
ฉะเชิงเทรา	CCA	0	138120.23	45	1289	28778
ฉะเชิงเทรา	BAP	0	130551.766	1	1432	28010
ฉะเชิงเทรา	BAK	0	138679.73	1	1503	25440
ฉะเชิงเทรา	KWA	0	75071.234	23	882	22995
ฉะเชิงเทรา	FYU	0	78013.414	74	911	20911
ฉะเชิงเทรา	CCB	0	95053.4	1	987	18763
ฉะเชิงเทรา	BWB	0	113618.24	3	711	18487
ฉะเชิงเทรา	BWA	0	93738.1	32	733	13212
ฉะเชิงเทรา	KWB	0	119736.11	415	686	13122
ฉะเชิงเทรา	BGR	0	44973.195	145	340	7520
ฉะเชิงเทรา	BSK	0	79070.91	2	484	4021
ฉะเชิงเทรา	KOB	0	52915.8	678	226	2709
ฉะเชิงเทรา	BSL	0	119956.375	87	198	1298
ฉะเชิงเทรา	BSM	0	303146.3	83	330	355
ฉะเชิงเทรา	HSR	0	68718.24	0	247	306
ฉะเชิงเทรา	BSU	0	109324.69	2	129	130
ฉะเชิงเทรา	BZD	0	0	0	0	0
สมุทรสาคร
สมุทรสาคร	SMF	0	213306.33	3403	1476	27643
สมุทรสาคร	BNP	0	87641.07	8436	1233	23305
สมุทรสาคร	KTE	0	186485.48	2	1139	19097
สมุทรสาคร	ONB	0	126004.69	42	845	17196
สมุทรสาคร	SMA	0	162467.06	2	726	13410
สมุทรสาคร	KTA	0	137309.58	2	732	12741
สมุทรสาคร	EKA	0	190658.1	21	832	12441
สมุทรสาคร	SME	0	165030.23	12249	850	10681
สมุทรสาคร	BAL	0	174483.13	3	555	9955
สมุทรสาคร	ONC	0	106275.84	759	366	9707
สมุทรสาคร	OND	0	48117.848	0	389	9696
สมุทรสาคร	ONA	0	134012.25	14	551	9068
สมุทรสาคร	SMB	0	195649.58	19532	776	8873
สมุทรสาคร	SMD	0	63000.785	3	282	7607
สมุทรสาคร	KTD	0	119113.39	381	417	7295
สมุทรสาคร	EKB	0	103170.01	279	466	6659
สมุทรสาคร	KTB	0	152806.95	82	935	5963
สมุทรสาคร	SMI	0	103254.31	38	591	5572
สมุทรสาคร	SMX	0	81344.05	51	515	4953
สมุทรสาคร	SAA	0	91297.84	1	256	4742
สมุทรสาคร	ONU	0	25809.615	14	219	3718
สมุทรสาคร	SMG	0	105942.914	7	350	3559
สมุทรสาคร	OYM	0	0	0	193	3276
สมุทรสาคร	SMC	0	0	0	544	2335
สมุทรสาคร	SXA	0	86371.69	147	335	1296
สมุทรสาคร	KTU	0	43704.64	51994	135	732
สมุทรสาคร	THS	0	119016.766	19	150	284
สมุทรสาคร	SMJ	0	0	0	0	0
สมุทรสาคร	SMK	0	0	0	0	0
สมุทรสาคร	SMZ	0	0	0	0	0
ปทุมธานี
ปทุมธานี	TYA	0	189798.55	9	1504	44372
ปทุมธานี	KHC	0	140555.34	0	1310	41206
ปทุมธานี	RSA	0	149924.25	2	1050	39048
ปทุมธานี	KLO	0	215566.89	5	2284	36640
ปทุมธานี	PQB	0	117563.516	1	1169	28578
ปทุมธานี	LLK	0	194965.53	0	2163	26566
ปทุมธานี	BKA	0	171075	10	1143	25212
ปทุมธานี	KHL	0	155743.11	9	1265	24313
ปทุมธานี	TMS	0	70413.96	1572	1020	23057
ปทุมธานี	KQA	0	43307.11	0	781	22667
ปทุมธานี	BMA	0	105100.96	4	891	21729
ปทุมธานี	BMB	0	99046.7	4	909	20820
ปทุมธานี	LAK	0	131914.69	3770	1347	18586
ปทุมธานี	PQA	0	144449.98	247	1133	17886
ปทุมธานี	PQC	0	144945.67	15	670	16523
ปทุมธานี	PQD	0	91703.19	4	1006	15625
ปทุมธานี	RGA	0	100341.58	1	542	13278
ปทุมธานี	MUB	0	76101.37	1	398	11592
ปทุมธานี	SKK	0	82789.66	5	742	9872
ปทุมธานี	BPN	0	94249.56	116	436	9821
ปทุมธานี	NVD	0	96517.98	7	869	8412
ปทุมธานี	NVA	0	40029.25	1087	198	644
ปทุมธานี	BDA	0	41153.094	0	314	555
ปทุมธานี	NVB	0	29781.38	1	37	288
ปทุมธานี	NVC	0	44059.324	206	210	245
ปทุมธานี	NVU	0	0	0	92	100
ปทุมธานี	RSB	0	0	0	0	0
บุรีรัมย์
บุรีรัมย์	BRA	35	125255.36	23330	1970	64905
บุรีรัมย์	NOK	29	102298.09	27773	1626	60916
บุรีรัมย์	BRB	0	102445.36	4294	1701	56016
บุรีรัมย์	XTA	0	23141.828	8177	560	24924
บุรีรัมย์	NAR	0	40423.887	1130	584	22819
บุรีรัมย์	LHA	0	0	0	0	0
ปราจีนบุรี
ปราจีนบุรี	PAA	0	125509.71	3471	2011	51506
ปราจีนบุรี	SMP	39	141960.61	11028	1736	41164
ปราจีนบุรี	KBJ	0	152171.25	1092	1960	41130
ปราจีนบุรี	PCK	0	36191.15	6003	863	24875
ปราจีนบุรี	NSI	14	47794.06	18771	1029	21387
ปราจีนบุรี	BSG	16	58139.508	19550	881	13287
ปราจีนบุรี	PAB	0	43730.176	2021	582	11555
ปราจีนบุรี	KBL	0	49510.617	142	585	7716
ปราจีนบุรี	KBI	0	68382.375	1619	156	200
ปราจีนบุรี	SMQ	0	31213.422	18	62	138
ปราจีนบุรี	KBK	0	19858.59	528	66	77
เพชรบุรี
เพชรบุรี	PBA	0	182946.11	1	2420	79031
เพชรบุรี	PBB	23	81012.73	14877	1374	42494
เพชรบุรี	CAB	24	87491.67	14767	1628	31246
เพชรบุรี	KHY	0	70838.53	7148	1021	19166
เพชรบุรี	CAA	0	72359.766	3224	599	12185
เพชรบุรี	CAC	0	28596.666	0	379	10687
เพชรบุรี	KHZ	14	47946.016	28035	601	8043
เพชรบุรี	CAU	0	25624.617	0	231	5462
เชียงใหม่
เชียงใหม่	SKP	0	160956.27	7	2166	78622
เชียงใหม่	SGA	0	97538.05	367	1956	78324
เชียงใหม่	MRM	0	184699.84	0	2835	73378
เชียงใหม่	CEA	0	0	0	1674	63027
เชียงใหม่	CDO	0	42830	124	1079	46318
เชียงใหม่	CMC	0	139189.95	0	1498	46097
เชียงใหม่	CMA	0	143600.36	2	1490	43715
เชียงใหม่	DKA	0	78903.42	3	1253	37746
เชียงใหม่	CMB	0	161774.1	0	1581	36450
เชียงใหม่	XSB	0	0	0	1056	32564
เชียงใหม่	CMD	0	127213.6	7	1880	32151
เชียงใหม่	CGA	0	0	0	709	27895
เชียงใหม่	FAA	24	86883.99	16516	679	21199
เชียงใหม่	CMU	0	50299.55	0	578	9836
เชียงใหม่	CMW	0	0	0	382	9082
เชียงใหม่	HOA	0	10235.006	54	281	8201
เชียงใหม่	CMV	0	43509.984	90	255	6530
เชียงใหม่	CME	0	53436.51	0	0	0
เชียงใหม่	CMF	0	55484.926	10	0	0
เชียงใหม่	CMI	0	0	0	0	0
เชียงใหม่	FAU	0	0	0	0	0
เชียงใหม่	MTU	0	0	0	0	0
เชียงใหม่	SHA	0	0	0	0	0
เชียงใหม่	XSA	0	0	0	0	0
สระบุรี
สระบุรี	SRE	0	157172.98	2	1994	46268
สระบุรี	DOP	18	64098.246	18447	891	29249
สระบุรี	SRA	0	108170.55	1337	814	26871
สระบุรี	NOH	0	111510.05	16	1207	26480
สระบุรี	WIA	0	76405.38	2929	909	23381
สระบุรี	TDA	20	69598.31	22961	976	19530
สระบุรี	PJA	0	84696.41	33	797	19150
สระบุรี	WAM	23	80981.9	14689	921	17446
สระบุรี	PJB	0	94917.52	3912	683	15401
สระบุรี	MLK	0	59211.773	94	871	12606
สระบุรี	TLA	0	35573.223	836	374	12198
สระบุรี	SRF	0	31436.969	885	563	10896
สระบุรี	SRB	0	55400.06	1665	447	7970
สระบุรี	SRD	0	39732.055	17	409	7848
สระบุรี	PKE	0	0	0	391	4453
สระบุรี	KYE	0	20396.166	732	121	2230
สระบุรี	NPL	0	85109.66	4	189	208
พิษณุโลก
พิษณุโลก	WGT	0	150213.13	255	2226	61834
พิษณุโลก	PLC	0	137221.05	2	1792	49509
พิษณุโลก	NAT	0	38018.188	199	977	40286
พิษณุโลก	PLA	0	114964.81	0	1130	31792
พิษณุโลก	PLE	0	84715.44	292	837	24704
พิษณุโลก	WBT	0	37594.645	3	725	18423
