sb	name	pv	pos_peak	pos_avg	pos_ngy	neg_peak	neg_avg	neg_cnt	neg_ngy	mwh 	mw1	max pw	trxno	lat+long	DT	MT	E5:GWh	E2:GWh	SPP	VSPP	REPL
TDA	ตาลเดี่ยว	สระบุรี	79.490005	17.148409	69598.31	20.11	4.8474708	22961	8587.239	20	10	100	2	https://maps.google.com/?q=14.5663,101.0072	976	19530	661	589	0	0	0
WAM	วังม่วง	สระบุรี	58.15	20.30756	80981.9	26.82	6.970854	14689	6246.4707	23	11.5	100	2	https://maps.google.com/?q=14.8072,101.1191	921	17446	446	398	1	0	0
QRA	พรหมพิราม	พิษณุโลก	27.87	6.2150116	22682.55	6.8500004	2.4001925	16240	8697.054	7	3.5	50	1	https://maps.google.com/?q=17.0973,100.1427	671	17122	219	195	0	0	0
BPB	บ้านโป่ง 2	ราชบุรี	90.799995	31.829834	119847.99	33.66	16.675861	24669	16583.238	33	16.5	80	2	https://maps.google.com/?q=13.8533,99.8709	1146	34887	508	452	3	0	1
KKC	ขอนแก่น 3	ขอนแก่น	104.439995	45.085102	188944.5	11.97	5.197747	16745	6099.0874	52	26	100	3	https://maps.google.com/?q=16.5070,102.8015	2752	75632	1700	1511	0	2	2
NOA	หนองเรือ	ขอนแก่น	73.170006	24.554	83378.734	37.089996	12.717036	39328	29493.238	23	11.5	100	2	https://maps.google.com/?q=16.4874,102.4634	1876	91002	632	560	0	3	0
NQA	น้ำพอง	ขอนแก่น	68.18	15.557285	53743.51	29.08	14.26762	21789	22590.65	15	7.5	50	2	https://maps.google.com/?q=16.6750,102.7938	1290	46532	736	656	0	4	0
POA	พล	ขอนแก่น	34.11	8.82253	31771.096	17.71	9.5144005	15952	23941.428	9	4.5	100	2	https://maps.google.com/?q=15.8071,102.5766	1776	76990	599	531	0	2	0
BEA	บางเลน 1	นครปฐม	88.920006	28.507652	116573.09	46.510002	17.715914	22354	31989.563	32	16	100	2	https://maps.google.com/?q=14.0391,100.1682	722	11414	273	243	0	7	0
KSA	กำแพงแสน	นครปฐม	103.329994	34.44233	134042.13	27.5	9.12289	31112	11955.822	37	18.5	100	2	https://maps.google.com/?q=13.9878,99.9934	2041	39586	1028	920	0	4	0
NPU	นครปฐม 2	นครปฐม	104.21	38.433563	156327.47	24.09	15.962871	15817	17624.648	43	21.5	100	2	https://maps.google.com/?q=13.8740,99.9982	1227	34171	834	743	0	1	0
SAB	สามพราน 2	นครปฐม	75.2	22.576115	96142.18	20.48	15.831707	16127	24178.21	27	13.5	100	2	https://maps.google.com/?q=13.7316,100.2289	756	20600	581	518	0	0	0
CHN	จะนะ	สงขลา	66.22	17.773987	53491.004	15.75	8.882145	32937	32097.068	15	7.5	100	2	https://maps.google.com/?q=6.9249,100.7657	1053	32177	354	316	1	0	0
HYC	หาดใหญ่ 3	สงขลา	93.229996	41.059635	162765.1	12.660001	9.019113	15621	17501.959	45	22.5	100	2	https://maps.google.com/?q=7.0323,100.4522	1630	70543	768	684	0	0	0
SBY	สะบ้าย้อย	สงขลา	67.5	19.511772	66128.39	18.720001	14.879476	32969	54932.07	19	9.5	100	2	https://maps.google.com/?q=6.6321,100.9476	2057	73007	379	339	1	0	0
CAY	ไชยา	สุราษฎร์ธานี	74.380005	24.216902	95535.234	32.67	12.057624	35681	32285.734	27	13.5	100	2	https://maps.google.com/?q=9.3924,99.1681	2699	60082	690	617	0	0	0
PPB	พุนพิน 2	สุราษฎร์ธานี	113.08	30.234243	105921.805	45.57	29.39838	32914	44035.703	30	15	100	2	https://maps.google.com/?q=8.9891,99.2046	1720	41096	701	628	0	1	0
WSA	เวียงสระ	สุราษฎร์ธานี	102.28999	33.588043	137997.4	35.030003	13.804306	17316	8936.374	38	19	100	2	https://maps.google.com/?q=8.5803,99.3502	3316	94565	842	751	0	2	0
LAA	ลาดยาว	นครสวรรค์	62.18	19.024918	74148.53	20.09	9.685598	17339	9874.013	21	10.5	100	2	https://maps.google.com/?q=15.7663,99.8683	2981	76625	485	436	1	3	0
BUY	บัวใหญ่	นครราชสีมา	79.18	23.576256	89861.62	35.09	17.41534	30060	25785.068	25	12.5	50	1	https://maps.google.com/?q=15.5510,102.5177	2288	88370	516	457	1	6	0
CCI	โชคชัย 1	นครราชสีมา	90.4	35.138252	134219.13	25.439999	9.695517	23253	17421.9	37	18.5	100	2	https://maps.google.com/?q=14.7402,102.0908	1133	29871	705	629	0	3	0
CUM	ชุมพวง	นครราชสีมา	53.02	19.392334	75592.03	22.07	16.182869	14235	14497.816	21	10.5	50	1	https://maps.google.com/?q=15.3587,102.7850	1528	69785	441	391	0	1	0
DTA	ด่านขุนทด 1	นครราชสีมา	74.37	23.369865	94172.23	38.38	11.452961	18133	10227.209	26	13	50	1	https://maps.google.com/?q=15.1408,101.7306	1233	43352	447	398	0	6	0
HTA	หัวทะเล	นครราชสีมา	52.239998	7.63569	30747.926	22.62	3.8315709	16872	8202.819	9	4.5	100	2	https://maps.google.com/?q=14.9223,102.1719	386	9474	355	317	0	2	0
HTL	ห้วยแถลง	นครราชสีมา	60.399994	17.903576	71738.82	29.420002	10.719185	14199	8641.794	20	10	50	2	https://maps.google.com/?q=15.0041,102.5858	1574	68858	274	242	1	4	0
KGA	คง	นครราชสีมา	69.24	22.960419	90914.62	28.289999	16.574883	19630	16017.048	25	12.5	100	2	https://maps.google.com/?q=15.2973,102.4172	1594	60647	380	337	0	3	1
KON	ครบุรี	นครราชสีมา	66.009995	13.259125	54853.5	18.9	11.537862	10992	11979.4	16	8	100	2	https://maps.google.com/?q=14.4971,102.3034	1134	46523	340	303	1	3	0
SFA	สีคิ้ว 1	นครราชสีมา	78.81999	25.067522	88717.32	19.55	10.972249	20225	16193.351	25	12.5	100	2	https://maps.google.com/?q=14.8702,101.7724	748	26482	586	523	0	2	0
CDB	ชัยบาดาล 2	ลพบุรี	77.72	24.350943	103521.04	30.21	12.656522	13756	9437.788	29	14.5	100	2	https://maps.google.com/?q=15.0775,100.9737	1525	37824	465	414	0	0	0
PXA	พัฒนานิคม 1	ลพบุรี	85.97	20.297897	79923.53	35.09	14.206138	17900	10656.606	22	11	100	2	https://maps.google.com/?q=14.8639,100.9165	1143	19720	731	652	0	0	0
