sb	name	pv	pos_peak	pos_avg	pos_ngy	neg_peak	neg_avg	neg_cnt	neg_ngy	mwh 	mw1	max pw	trxno	lat+long	DT	MT	E5:GWh	E2:GWh	SPP	VSPP	REPL
BBA	บ้านบึง 1	ชลบุรี	114.11	37.790188	145331.06	36.329998	12.241859	22949	16114.812	40	20	100	2	https://maps.google.com/?q=13.2194,101.2229	1256	14509	1016	908	0	8	1
KBA	กระบี่ 1	กระบี่	94.009995	17.015186	62319.07	15.28	5.506432	18780	16241.087	18	9	100	2	https://maps.google.com/?q=8.0564,99.0204	1692	36039	454	406	0	6	0
ARA	อรัญประเทศ 1	สระแก้ว	74.73	14.920713	60222.03	44.760002	15.192354	27282	13154.4375	17	8.5	90	2	https://maps.google.com/?q=13.7246,102.4759	1493	49973	366	325	0	0	0
SKW	สระแก้ว	สระแก้ว	81.53	23.753197	78215.12	38.99	12.36698	28370	16834.521	22	11	100	2	https://maps.google.com/?q=13.8944,101.9871	1665	43974	703	627	0	0	0
WNA	วัฒนานคร	สระแก้ว	66.41	14.409707	56656.83	33.14	13.534362	16560	14113.048	16	8	50	2	https://maps.google.com/?q=13.7687,102.2423	1633	45385	531	474	0	0	0
WYA	วังน้ำเย็น	สระแก้ว	60.57	12.552304	48832.5	29.59	7.533176	20382	6337.44	14	7	100	2	https://maps.google.com/?q=13.4126,102.1979	1334	34847	280	250	0	0	0
BPH	บางพระครู	พระนครศรีอยุธยา	48.46	12.8807	49154.016	7.58	3.9161823	14959	10170.356	14	7	100	2	https://maps.google.com/?q=14.4991,100.5913	292	4602	306	273	0	1	0
BPI	บางปะหัน	พระนครศรีอยุธยา	47.73	10.850997	43992.742	31.18	13.918329	15162	13945.209	13	6.5	100	2	https://maps.google.com/?q=14.5038,100.5193	748	15901	321	287	0	4	0
BRA	บุรีรัมย์ 1	บุรีรัมย์	95.9	33.142685	125255.36	23.01	10.432417	23330	15175.907	35	17.5	100	2	https://maps.google.com/?q=15.0220,103.1081	1970	64905	772	685	0	4	1
NOK	หนองกี่	บุรีรัมย์	79.71	27.709385	102298.09	30.11	11.915009	27773	18731.547	29	14.5	100	2	https://maps.google.com/?q=14.6967,102.5015	1626	60916	737	659	0	8	0
BSG	บ้านสร้าง	ปราจีนบุรี	71.46999	14.951572	58139.508	31.720001	10.737015	19550	9187.508	16	8	100	2	https://maps.google.com/?q=14.0084,101.2450	881	13287	386	345	0	5	0
NSI	นนทรี	ปราจีนบุรี	56.769997	12.255537	47794.06	35.19	10.5214	18771	12495.068	14	7	100	2	https://maps.google.com/?q=14.0105,101.7025	1029	21387	385	345	1	3	0
SMP	ศรีมหาโพธิ 1	ปราจีนบุรี	85.990005	33.550686	141960.61	22.32	6.478484	11028	5817.388	39	19.5	100	2	https://maps.google.com/?q=13.9487,101.5129	1736	41164	1037	925	0	5	0
CAB	ชะอำ 2	เพชรบุรี	60.13	20.879862	87491.67	10.8	4.579329	14767	11449.566	24	12	100	2	https://maps.google.com/?q=12.7177,99.9279	1628	31246	936	836	0	2	0
KHZ	เขาย้อย 2	เพชรบุรี	77.76	12.977156	47946.016	27.189999	8.845857	28035	12974.463	14	7	100	2	https://maps.google.com/?q=13.2863,99.7869	601	8043	403	361	0	10	0
PBB	เพชรบุรี 2	เพชรบุรี	43.06	19.579792	81012.73	14.33	6.366013	14877	14074.045	23	11.5	50	1	https://maps.google.com/?q=13.0127,100.0500	1374	42494	609	543	0	2	0
FAA	ฝาง	เชียงใหม่	65.32	19.890812	86883.99	18.77	15.246251	16516	7497.9424	24	12	50	1	https://maps.google.com/?q=19.8539,99.1981	679	21199	232	207	0	0	0
DOP	ดอนพุด	สระบุรี	58.01	16.873117	64098.246	16.289999	10.274716	18447	19721.559	18	9	100	2	https://maps.google.com/?q=14.6566,100.5947	891	29249	417	371	0	3	0
