ระยอง	1876.99	627.3862	105.3	72.84836	2390	48	19190	448961	13150.801883731632	11740.046819350797	15	1	0
===	CBC	ชลบุรี 3	ชลบุรี	93.46999	35.99743	1.0799999	0.5119828	100	2	13.449889183044434	100.9991455078125
===	CBD	ชลบุรี 4	ชลบุรี	59.700005	19.601627	16.380001	10.046167	100	2	13.370403289794922	101.03487396240234
===	CHT	จอมเทียน 1	ชลบุรี	84.68001	22.43282	5.11	2.4556336	100	2	12.8588228225708	100.92196655273438
===	CHU	จอมเทียน 2	ชลบุรี	71.12	24.872105	19.71	15.184103	100	2	12.900046348571777	100.89885711669922
===	HEB	เหมราช 2	ชลบุรี	59.339996	11.441345	12.17	5.3626323	100	2	13.132109642028809	101.14861297607422
===	KMK	เขาไม้แก้ว	ชลบุรี	85.7	17.268679	13.94	12.4133625	100	2	12.917491912841797	101.03158569335938
===	KPO	เกาะโพธิ์	ชลบุรี	81.27	26.984753	9.57	8.982666	100	2	13.41865348815918	101.28308868408203
===	LCA	แหลมฉบัง 1	ชลบุรี	86.38	21.967358	0	0	100	2	13.094597816467285	100.8956527709961
===	LCB	แหลมฉบัง 2	ชลบุรี	85.079994	33.307743	0.82	0.438	100	2	13.075400352478027	100.9205551147461
===	NOU	หนองใหญ่ 2 (ช)	ชลบุรี	33.440002	13.235922	8.55	5.2785563	40	3	0	0
===	NOY	หนองใหญ่ 1	ชลบุรี	78.450005	19.386545	23.359999	11.58408	100	2	13.168517112731934	101.27912139892578
===	PSA	พนัสนิคม	ชลบุรี	112.12001	35.92344	0.34	0.34	100	2	16.050159454345703	100.11663055419922
===	PTP	พานทอง 2	ชลบุรี	88.479996	43.480858	4.56	4.56	100	2	13.421343803405762	101.10160064697266
===	PYG	พัทยากลาง	ชลบุรี	90.52999	25.693464	21.68	12.446385	150	3	12.935328483581543	100.89122009277344
===	PYN	พัทยาเหนือ 1	ชลบุรี	95.920006	23.12507	4.8199997	4.8199997	100	2	12.956052780151367	100.90733337402344
===	PYO	พัทยาเหนือ 2	ชลบุรี	72.83	34.158936	15.31	8.037701	100	2	12.979524612426758	100.9576187133789
===	PYT	พัทยาใต้ 1	ชลบุรี	34.48	2.0686398	17.18	12.224001	100	2	12.916984558105469	100.86730194091797
===	PYU	พัทยาใต้ 2	ชลบุรี	101.619995	33.054077	11.120001	9.66	100	2	12.922097206115723	100.88343048095703
===	PYV	พัทยาเหนือ 3 (ช)	ชลบุรี	0	0	0	0	50	1	0	0
===	PZA	ปิ่นทอง 1	ชลบุรี	101.52	28.617325	0.39	0.26045454	100	2	13.116520881652832	100.99925994873047
===	PZC	ปิ่นทอง 3	ชลบุรี	44.089996	10.957666	0	0	100	2	13.093260765075684	101.06132507324219
===	PZV	ปิ่นทอง 3 (ช)	ชลบุรี	0	0	0	0	50	1	13.09241771697998	101.0613784790039
===	PZW	ปิ่นทอง 2 (ช)	ชลบุรี	41.46	17.047445	11.809999	10.00074	50	1	13.115570068359375	101.03857421875
===	SCA	ศรีราชา 1	ชลบุรี	113.68001	46.851135	8.32	6.70359	100	2	13.160481452941895	100.94352722167969
กระบี่	340.62	90.083755	74.170006	19.641415	350	7	8080	169083	2709.6861807999762	2422.1254158499332	0	16	0
===	ALA	อ่าวลึก	กระบี่	52.25	13.709565	14.890001	6.656503	50	1	0	0
===	KBA	กระบี่ 1	กระบี่	94.009995	17.015186	15.28	5.506432	100	2	0	0
===	KBB	กระบี่ 2	กระบี่	124.69	39.724766	7.87	5.7575607	100	2	0	0
===	KTM	คลองท่อม	กระบี่	69.67	19.63424	36.130005	1.720919	100	2	0	0
สระแก้ว	348.17	88.630936	154.14	54.10581	490	11	6616	188017	2062.8052185599886	1838.7684819599633	0	0	0
===	ARA	อรัญประเทศ 1	สระแก้ว	74.73	14.920713	44.760002	15.192354	90	2	13.724571228027344	102.47594451904297
===	ARB	อรัญประเทศ 2	สระแก้ว	64.92999	22.99501	7.66	5.4789324	100	2	13.67462158203125	102.54517364501953
===	SKW	สระแก้ว	สระแก้ว	81.53	23.753197	38.99	12.36698	100	2	13.894383430480957	101.98705291748047
===	WNA	วัฒนานคร	สระแก้ว	66.41	14.409707	33.14	13.534362	50	2	13.768732070922852	102.24225616455078
===	WYA	วังน้ำเย็น	สระแก้ว	60.57	12.552304	29.59	7.533176	100	2	13.412639617919922	102.19788360595703
พระนครศรีอยุธยา	1321	371.89853	240.32997	124.502846	2140	45	15562	288901	10029.031867390995	8946.12191831975	7	20	0
===	AYA	อยุธยา 1	พระนครศรีอยุธยา	83.61	27.763054	6.56	2.8408067	100	2	14.363119125366211	100.55316925048828
===	AYB	อยุธยา 2	พระนครศรีอยุธยา	59.79	18.947529	2.34	2.34	100	2	14.38322639465332	100.60359954833984
===	BIA	บางปะอิน 1	พระนครศรีอยุธยา	89.229996	27.45008	3.6499999	2.6599998	100	2	14.212099075317383	100.58718872070313
===	BIC	บางปะอิน 3	พระนครศรีอยุธยา	61.53	10.749672	17.68	4.2998033	100	2	14.169191360473633	100.52208709716797
===	BKS	บางกระสั้น 1	พระนครศรีอยุธยา	60.560005	2.4503963	12.679999	2.5221653	80	2	14.202028274536133	100.58502960205078
===	BKT	บางกระสั้น 2	พระนครศรีอยุธยา	19.67	3.5338712	7.61	7.61	100	2	14.188255310058594	100.59054565429688
===	BLS	บ้านลาดทราย	พระนครศรีอยุธยา	101.75	35.976105	2.01	2.01	100	2	14.205233573913574	100.6646957397461
===	BNL	บ้านเลน 1	พระนครศรีอยุธยา	27.349998	6.4017587	4.19	0.6975099	90	2	14.249848365783691	100.61026763916016
===	BNM	บ้านเลน 2 (ช)	พระนครศรีอยุธยา	25.34	5.724755	7.44	6.6359377	90	2	14.240720748901367	100.6058349609375
===	BPH	บางพระครู	พระนครศรีอยุธยา	48.46	12.8807	7.58	3.9161823	100	2	14.499131202697754	100.59130096435547
===	BPI	บางปะหัน	พระนครศรีอยุธยา	47.73	10.850997	31.18	13.918329	100	2	14.503817558288574	100.51934814453125
