sb	name	pv	pos_peak	pos_avg	neg_peak	neg_avg	max pw	trxno	x	y	sb_es
APB	อ่าวไผ่ 2	ชลบุรี	0	0	0	0	0	0	0	0	0
BBA	บ้านบึง 1	ชลบุรี	114.11	37.790188	36.329998	12.241859	100	2	13.219442367553711	101.22288513183594	3.935073
BBB	บ้านบึง 2	ชลบุรี	114.77	41.7193	8.38	4.7585716	100	2	13.30882453918457	101.108642578125	5.256096
BBC	บ้านบึง 3 (ช)	ชลบุรี	34.68	9.705618	14.74	5.3746986	25	1	13.280189514160156	101.19942474365234	1.2186257
BBD	บ้านบึง 4	ชลบุรี	0	0	0	0	100	2	13.350028991699219	101.14186096191406	0
BLA	บางละมุง	ชลบุรี	98.22	35.960617	4.06	4.015	100	2	12.938067436218262	100.92575073242188	4.5309143
BNF	บึง 2	ชลบุรี	91.97	41.544003	17.43	16.615	100	2	13.080672264099121	101.12004852294922	5.234323
BNG	บึง 1	ชลบุรี	87.57001	35.301575	1.57	1.57	90	2	13.09895133972168	100.96819305419922	4.4479885
BNH	บึง 3	ชลบุรี	0	0	0	0	100	2	13.074146270751953	101.02156066894531	0
BNU	บึง 4 (ช)	ชลบุรี	50.18	24.995584	0.17999999	0.16	50	1	0	0	3.148848
BPE	บางพระ	ชลบุรี	109.96	41.36516	0.41	0.41	100	2	13.240378379821777	100.93418884277344	5.211939
BSN	บางแสน 1	ชลบุรี	89.560005	31.44057	0	0	100	2	13.309944152832031	100.95378875732422	3.9615116
BSO	บางแสน 2	ชลบุรี	63.11	26.870815	0	0	100	2	13.332201957702637	100.9356460571289	3.3857226
BVA	บ่อทอง	ชลบุรี	0	0	0	0	100	2	13.286173820495605	101.40084075927734	0
BVU	บ่อทอง (ช)	ชลบุรี	28.880001	14.658112	8.26	3.051484	25	1	13.315051078796387	101.3231201171875	1.8287804
BWI	บ่อวิน 1	ชลบุรี	0	0	0	0	0	0	0	0	0
BWN	บ่อวิน 2	ชลบุรี	66.87	19.675049	12.49	6.930134	100	2	13.075113296508789	101.08851623535156	2.170102
CBA	ชลบุรี 1	ชลบุรี	102.18	36.06011	1.43	1.43	100	2	13.33897590637207	100.99136352539063	4.543548
CBB	ชลบุรี 2	ชลบุรี	80.799995	39.579185	2.08	2.08	100	2	13.409710884094238	100.99987030029297	4.982386
CBC	ชลบุรี 3	ชลบุรี	93.46999	35.99743	1.0799999	0.5119828	100	2	13.449889183044434	100.9991455078125	4.533813
CBD	ชลบุรี 4	ชลบุรี	59.700005	19.601627	16.380001	10.046167	100	2	13.370403289794922	101.03487396240234	2.3090444
CHT	จอมเทียน 1	ชลบุรี	84.68001	22.43282	5.11	2.4556336	100	2	12.8588228225708	100.92196655273438	2.3467455
CHU	จอมเทียน 2	ชลบุรี	71.12	24.872105	19.71	15.184103	100	2	12.900046348571777	100.89885711669922	3.1296158
HEB	เหมราช 2	ชลบุรี	59.339996	11.441345	12.17	5.3626323	100	2	13.132109642028809	101.14861297607422	1.4026293
KMK	เขาไม้แก้ว	ชลบุรี	85.7	17.268679	13.94	12.4133625	100	2	12.917491912841797	101.03158569335938	2.1726043
KPO	เกาะโพธิ์	ชลบุรี	81.27	26.984753	9.57	8.982666	100	2	13.41865348815918	101.28308868408203	3.3998895
LCA	แหลมฉบัง 1	ชลบุรี	86.38	21.967358	0	0	100	2	13.094597816467285	100.8956527709961	2.7678874
LCB	แหลมฉบัง 2	ชลบุรี	85.079994	33.307743	0.82	0.438	100	2	13.075400352478027	100.9205551147461	4.1962867
NOU	หนองใหญ่ 2 (ช)	ชลบุรี	33.440002	13.235922	8.55	5.2785563	40	3	0	0	1.5646236
NOY	หนองใหญ่ 1	ชลบุรี	78.450005	19.386545	23.359999	11.58408	100	2	13.168517112731934	101.27912139892578	2.1324522
PSA	พนัสนิคม	ชลบุรี	112.12001	35.92344	0.34	0.34	100	2	16.050159454345703	100.11663055419922	4.5263095
PTO	พานทอง 1	ชลบุรี	0	0	0	0	0	0	0	0	0
PTP	พานทอง 2	ชลบุรี	88.479996	43.480858	4.56	4.56	100	2	13.421343803405762	101.10160064697266	5.4785237
PYG	พัทยากลาง	ชลบุรี	90.52999	25.693464	21.68	12.446385	150	3	12.935328483581543	100.89122009277344	2.3741224
PYN	พัทยาเหนือ 1	ชลบุรี	95.920006	23.12507	4.8199997	4.8199997	100	2	12.956052780151367	100.90733337402344	2.9136941
PYO	พัทยาเหนือ 2	ชลบุรี	72.83	34.158936	15.31	8.037701	100	2	12.979524612426758	100.9576187133789	0.72433066
PYT	พัทยาใต้ 1	ชลบุรี	34.48	2.0686398	17.18	12.224001	100	2	12.916984558105469	100.86730194091797	0.26063475
PYU	พัทยาใต้ 2	ชลบุรี	101.619995	33.054077	11.120001	9.66	100	2	12.922097206115723	100.88343048095703	4.164639
PYV	พัทยาเหนือ 3 (ช)	ชลบุรี	0	0	0	0	50	1	0	0	0
PYW	พัทยาใต้ 3	ชลบุรี	0	0	0	0	100	2	12.906057357788086	100.87921905517578	0
PZA	ปิ่นทอง 1	ชลบุรี	101.52	28.617325	0.39	0.26045454	100	2	13.116520881652832	100.99925994873047	3.605354
PZC	ปิ่นทอง 3	ชลบุรี	44.089996	10.957666	0	0	100	2	13.093260765075684	101.06132507324219	1.3249651
PZV	ปิ่นทอง 3 (ช)	ชลบุรี	0	0	0	0	50	1	13.09241771697998	101.0613784790039	0
PZW	ปิ่นทอง 2 (ช)	ชลบุรี	41.46	17.047445	11.809999	10.00074	50	1	13.115570068359375	101.03857421875	2.1464758
SCA	ศรีราชา 1	ชลบุรี	113.68001	46.851135	8.32	6.70359	100	2	13.160481452941895	100.94352722167969	5.90161
SCB	ศรีราชา 2	ชลบุรี	0	0	0	0	100	2	13.126675605773926	100.98436737060547	0
ALA	อ่าวลึก	กระบี่	52.25	13.709565	14.890001	6.656503	50	1	0	0	1.6715214
KBA	กระบี่ 1	กระบี่	94.009995	17.015186	15.28	5.506432	100	2	0	0	1.7927402
KBB	กระบี่ 2	กระบี่	124.69	39.724766	7.87	5.7575607	100	2	0	0	4.9970794
KTM	คลองท่อม	กระบี่	69.67	19.63424	36.130005	1.720919	100	2	0	0	1.7465246
ARA	อรัญประเทศ 1	สระแก้ว	74.73	14.920713	44.760002	15.192354	90	2	13.724571228027344	102.47594451904297	1.7324146
ARB	อรัญประเทศ 2	สระแก้ว	64.92999	22.99501	7.66	5.4789324	100	2	13.67462158203125	102.54517364501953	2.896533
SKW	สระแก้ว	สระแก้ว	81.53	23.753197	38.99	12.36698	100	2	13.894383430480957	101.98705291748047	2.2500238
TPV	ตาพระยา (ช)	สระแก้ว	0	0	0	0	50	1	13.93837833404541	102.7348403930664	0
WNA	วัฒนานคร	สระแก้ว	66.41	14.409707	33.14	13.534362	50	2	13.768732070922852	102.24225616455078	1.629854
WYA	วังน้ำเย็น	สระแก้ว	60.57	12.552304	29.59	7.533176	100	2	13.412639617919922	102.19788360595703	1.3914583
AYA	อยุธยา 1	พระนครศรีอยุธยา	83.61	27.763054	6.56	2.8408067	100	2	14.363119125366211	100.55316925048828	3.4319196
AYB	อยุธยา 2	พระนครศรีอยุธยา	59.79	18.947529	2.34	2.34	100	2	14.38322639465332	100.60359954833984	2.3873649
AYC	อยุธยา 3	พระนครศรีอยุธยา	0	0	0	0	0	0	0	0	0
BIA	บางปะอิน 1	พระนครศรีอยุธยา	89.229996	27.45008	3.6499999	2.6599998	100	2	14.212099075317383	100.58718872070313	3.4585962
BIB	บางปะอิน 2	พระนครศรีอยุธยา	0	0	0	0	0	0	0	0	0
BIC	บางปะอิน 3	พระนครศรีอยุธยา	61.53	10.749672	17.68	4.2998033	100	2	14.169191360473633	100.52208709716797	1.2466407
BKS	บางกระสั้น 1	พระนครศรีอยุธยา	60.560005	2.4503963	12.679999	2.5221653	80	2	14.202028274536133	100.58502960205078	0.30707288
BKT	บางกระสั้น 2	พระนครศรีอยุธยา	19.67	3.5338712	7.61	7.61	100	2	14.188255310058594	100.59054565429688	0.44526777
BLS	บ้านลาดทราย	พระนครศรีอยุธยา	101.75	35.976105	2.01	2.01	100	2	14.205233573913574	100.6646957397461	4.5329237
BNL	บ้านเลน 1	พระนครศรีอยุธยา	27.349998	6.4017587	4.19	0.6975099	90	2	14.249848365783691	100.61026763916016	0.80662155
BNM	บ้านเลน 2 (ช)	พระนครศรีอยุธยา	25.34	5.724755	7.44	6.6359377	90	2	14.240720748901367	100.6058349609375	0.72112596
BPH	บางพระครู	พระนครศรีอยุธยา	48.46	12.8807	7.58	3.9161823	100	2	14.499131202697754	100.59130096435547	1.2242467
BPI	บางปะหัน	พระนครศรีอยุธยา	47.73	10.850997	31.18	13.918329	100	2	14.503817558288574	100.51934814453125	1.2655392
BSA	บางไทร	พระนครศรีอยุธยา	73.11	24.350643	20.7	7.7773943	100	2	14.178058624267578	100.48008728027344	2.7287962
LBL	ลาดบัวหลวง	พระนครศรีอยุธยา	46.2	14.27889	15.549999	7.6282873	100	2	14.192045211791992	100.29164123535156	1.7598295
NKL	นครหลวง	พระนครศรีอยุธยา	51.670002	17.220972	22.509998	16.791348	100	2	14.454029083251953	100.6678695678711	2.1695237
RCN	โรจนะ 1	พระนครศรีอยุธยา	40.5	4.015469	2.1499999	2.1342306	80	2	14.320361137390137	100.6426010131836	0.5059165
RCO	โรจนะ 2	พระนครศรีอยุธยา	94.869995	32.56225	40.33	25.919298	100	2	14.30517292022705	100.61444091796875	4.0524955
RCQ	โรจนะ 3	พระนครศรีอยุธยา	24.73	12.761535	5.54	2.112956	100	2	14.32728099822998	100.66832733154297	0.8382544
RCR	โรจนะ 4	พระนครศรีอยุธยา	41.440002	10.421298	0	0	100	3	14.343685150146484	100.68360137939453	1.3122709
RCS	โรจนะ 5	พระนครศรีอยุธยา	55.860004	10.007471	3.48	1.7910637	100	2	14.337078094482422	100.63345336914063	1.2597568
SNA	เสนา	พระนครศรีอยุธยา	81.96	28.81651	12.559999	4.6904697	100	2	14.312967300415039	100.39814758300781	3.622719
WAA	วังน้อย 1	พระนครศรีอยุธยา	102.70999	29.4384	14.559999	6.177068	100	2	14.249419212341309	100.70332336425781	3.6580172
WAB	วังน้อย 2	พระนครศรีอยุธยา	82.92999	25.296185	0.03	0.03	100	2	14.270474433898926	100.7957992553711	3.186601
BAK	บางคล้า	ฉะเชิงเทรา	95.490005	31.66209	0.83	0.83	100	2	13.85522174835205	101.16316223144531	3.9894168
BAP	บางน้ำเปรี้ยว	ฉะเชิงเทรา	88.68	29.806417	1.11	1.11	100	2	13.870491027832031	101.1456527709961	3.7551985
BGR	บางปะกง 3	ฉะเชิงเทรา	45.49	10.2774935	6.61	3.5654206	100	2	13.483881950378418	100.97274780273438	1.2937483
BHO	บ้านโพธิ์	ฉะเชิงเทรา	0	0	0	0	0	0	0	0	0
BSK	บางสมัคร 2	ฉะเชิงเทรา	77.41	18.052887	1.53	0.935	100	3	13.566917419433594	100.93871307373047	2.2746427
BSL	บางสมัคร 3	ฉะเชิงเทรา	64.15	27.410946	1.37	0.5104785	100	2	13.606340408325195	100.94466400146484	3.4508
BSM	บางสมัคร 1	ฉะเชิงเทรา	123.25	69.23532	2.31	1.4143354	150	3	13.579451560974121	100.92585754394531	8.720647
BSU	บางสมัคร 4 (ช)	ฉะเชิงเทรา	1199.9	24.960419	0.08	0.08	50	1	13.579303741455078	100.95022583007813	3.1449573
BWA	บางวัว 1	ฉะเชิงเทรา	62.74	21.402885	19.089998	15.955714	100	2	13.515888214111328	100.98235321044922	2.6965706
BWB	บางวัว 2	ฉะเชิงเทรา	58.99	25.940586	1.08	1.08	100	2	13.527091979980469	100.96754455566406	3.26847
BZD	บางสมัคร 4	ฉะเชิงเทรา	0	0	0	0	100	2	13.589052200317383	100.95186614990234	0
CCA	ฉะเชิงเทรา 1	ฉะเชิงเทรา	97.66999	31.53968	0.67999995	0.35095236	100	2	13.625282287597656	101.03243255615234	3.9732175
CCB	ฉะเชิงเทรา 2	ฉะเชิงเทรา	75.68	21.701723	2.18	2.18	100	2	13.660390853881836	101.08790588378906	2.6889396
CCX	ฉะเชิงเทรา 3 (ช)	ฉะเชิงเทรา	64.47	17.229008	2.97	1.5024999	50	1	0	0	1.1321088
FYU	แปลงยาว (ช)	ฉะเชิงเทรา	37.989998	17.828417	5.48	3.7575116	50	1	13.583878517150879	101.27814483642578	2.2442214
HSR	หัวสำโรง	ฉะเชิงเทรา	45.989998	15.689096	0	0	100	2	13.600637435913086	101.3443374633789	1.9768262
KOA	คลองใหม่ 1	ฉะเชิงเทรา	0	0	0	0	0	0	0	0	0
KOB	คลองใหม่ 2	ฉะเชิงเทรา	31.66	12.131208	3.7400002	1.6030467	100	2	13.607951164245605	100.98149108886719	1.5222354
KWA	คลองขวาง 1	ฉะเชิงเทรา	75.600006	17.13964	4.7	2.5636363	100	2	13.733445167541504	101.02534484863281	2.0094602
KWB	คลองขวาง 2	ฉะเชิงเทรา	78.729996	27.402468	3.1599998	2.4836924	100	2	13.757645606994629	100.99266815185547	3.443408
KWU	คลองขวาง 3 (ช)	ฉะเชิงเทรา	39.239998	14.404267	0.27	0.27	50	1	0	0	1.8149182
PHA	พนมสารคาม	ฉะเชิงเทรา	81.65	36.18901	2.27	0.8823855	100	2	13.78449535369873	101.52764129638672	4.5551004
SNK	สนามชัยเขต	ฉะเชิงเทรา	71.310005	23.141665	2.83	2.83	100	2	13.577190399169922	101.9041976928711	2.9158304
BAL	บางปลา	สมุทรสาคร	103.17	39.83671	2.54	2.2749999	100	2	13.58681869506836	100.24732208251953	5.019377
BNP	บ้านแพ้ว	สมุทรสาคร	94.44999	20.481565	11.91	5.6022034	100	2	13.566514015197754	100.11654663085938	2.5211813
EKA	เอกชัย 1	สมุทรสาคร	104.049995	43.533794	15.459999	9.708611	100	2	13.583965301513672	100.31869506835938	5.4846845
EKB	เอกชัย 2	สมุทรสาคร	83.7	23.585636	21.77	15.00876	100	2	13.555940628051758	100.2856216430664	2.967904
KTA	กระทุ่มแบน 1	สมุทรสาคร	85.78999	31.349497	1.98	1.98	100	2	13.64467716217041	100.29718780517578	3.9500015
KTB	กระทุ่มแบน 2	สมุทรสาคร	89.869995	34.909866	5.6600003	4.08075	100	2	13.62637710571289	100.31121063232422	4.395817
KTD	กระทุ่มแบน 4	สมุทรสาคร	67.38	27.265953	3.4899998	3.444292	100	2	13.676566123962402	100.26897430419922	3.425867
KTE	กระทุ่มแบน 5	สมุทรสาคร	99.78999	42.576683	3.22	1.8100001	100	2	13.638771057128906	100.24069213867188	5.3646507
KTU	กระทุ่มแบน 6 (ช)	สมุทรสาคร	18.92	10.119058	0.7	0.6999989	25	1	13.63354206085205	100.32279968261719	1.2566819
ONA	อ้อมน้อย 1	สมุทรสาคร	96.72	30.598064	21.96	18.158333	100	2	13.712199211120605	100.31482696533203	3.8551474
ONB	อ้อมน้อย 2	สมุทรสาคร	84.43001	28.777533	11.190001	6.4747796	100	2	13.671380043029785	100.30792236328125	3.6247923
ONC	อ้อมน้อย 3	สมุทรสาคร	74.07	24.268578	18.18	9.544174	100	2	13.705995559692383	100.29755401611328	3.0572503
OND	อ้อมน้อย 4	สมุทรสาคร	57.759995	10.98581	0	0	100	2	13.716341972351074	100.322021484375	1.356252
ONU	อ้อมน้อย 5 (ช)	สมุทรสาคร	31.44	5.8934646	2.47	2.47	50	1	13.686822891235352	100.32661437988281	0.74246836
OYM	อ้อมใหญ่ 4	สมุทรสาคร	0	0	0	0	100	2	13.779693603515625	100.27086639404297	0
SAA	สามพราน 1	สมุทรสาคร	109.33	20.844305	11.46	11.46	150	3	13.690829277038574	100.29266357421875	2.6262767
SMA	สมุทรสาคร 1	สมุทรสาคร	83.21001	37.09294	0.01	0.01	150	3	13.59298324584961	100.28269958496094	4.6703415
SMB	สมุทรสาคร 2	สมุทรสาคร	145.18999	46.5733	29.53	10.450309	150	3	13.541805267333984	100.22933959960938	4.9746313
SMC	สมุทรสาคร 3	สมุทรสาคร	0	0	0	0	100	2	13.596776962280273	100.33299255371094	0
SMD	สมุทรสาคร 4	สมุทรสาคร	85.48	14.383979	2.21	1.75	100	2	13.544562339782715	100.2642822265625	1.6846087
SME	สมุทรสาคร 5	สมุทรสาคร	87.560005	39.92037	20.89	8.300296	100	2	13.509446144104004	100.13291931152344	4.747445
SMF	สมุทรสาคร 6	สมุทรสาคร	112.399994	49.1455	17.570002	9.030669	100	2	13.559120178222656	100.31339263916016	6.1362095
SMG	สมุทรสาคร 7	สมุทรสาคร	74.33	24.189625	11.120001	7.9674997	100	2	13.58297348022461	100.29186248779297	3.047673
SMI	สมุทรสาคร 9	สมุทรสาคร	59.71	23.576742	6.35	4.621692	100	2	13.624489784240723	100.34153747558594	2.9703293
SMJ	สมุทรสาคร 10	สมุทรสาคร	0	0	0	0	100	2	13.62570858001709	100.27804565429688	0
SMK	สมุทรสาคร 11	สมุทรสาคร	0	0	0	0	50	1	13.520132064819336	100.23959350585938	0
SMU	สมุทรสาคร 8 (ช)	สมุทรสาคร	0	0	0	0	50	1	0	0	0
SMV	สมุทรสาคร 10 (ช)	สมุทรสาคร	0	0	0	0	50	1	0	0	0
SMW	สมุทรสาคร 11 (ช)	สมุทรสาคร	46.449997	21.132618	12.06	7.75	50	1	0	0	2.662593
SMX	สมุทรสาคร 12 (ช)	สมุทรสาคร	46.969997	18.57724	14.24	3.0216725	50	1	13.601924896240234	100.36061096191406	2.3400342
SMZ	สมุทรสาคร 16 (ช)	สมุทรสาคร	0	0	0	0	50	1	13.544624328613281	100.21141815185547	0
SXA	สินสาคร	สมุทรสาคร	72.95999	19.73095	1.6	0.8116049	100	2	13.557040214538574	100.34310913085938	2.4846652
THS	ท่าทราย 1	สมุทรสาคร	107.41	27.174654	28.04	25.640238	130	3	13.550076484680176	100.23311614990234	3.4237702
THU	ท่าทราย 2 (ช)	สมุทรสาคร	0	0	0	0	50	1	0	0	0
BDA	บางกะดี	ปทุมธานี	44.71	9.395683	0	0	100	2	13.979141235351563	100.5545883178711	1.18309
BKA	บางขันธ์ 1	ปทุมธานี	127.07	39.059975	17.75	12.266667	150	3	14.058711051940918	100.61666107177734	4.921335
BKU	บางขันธ์ 2 (ช)	ปทุมธานี	0	0	0	0	50	1	0	0	0
BMA	บ้านใหม่ 1	ปทุมธานี	70.32	23.995935	2.1000001	1.575	100	2	13.97661304473877	100.56905364990234	3.0234525
BMB	บ้านใหม่ 2	ปทุมธานี	66.71	22.614151	5.2599998	5.15	100	2	13.99195671081543	100.58251953125	2.8480897
BPN	บางพูน	ปทุมธานี	82.21001	21.535234	12.860001	8.320797	100	2	13.975077629089355	100.55033111572266	2.6922667
GUN	คลองหนึ่ง (ช)	ปทุมธานี	0	0	0	0	40	1	0	0	0
KHC	คลองเจ็ด	ปทุมธานี	100.69	32.090267	0	0	100	2	14.035516738891602	100.77207946777344	4.043373
KHL	คลองสี่	ปทุมธานี	110.479996	35.558857	15.58	14.886666	100	2	13.940580368041992	100.7110595703125	4.4802814
KIU	คลองสอง (ช)	ปทุมธานี	0	0	0	0	40	1	0	0	0
KLO	คลองหลวง	ปทุมธานี	117.240005	49.217636	8.51	8.426666	100	2	14.066650390625	100.70613098144531	6.201239
KQA	คูคต	ปทุมธานี	59.909996	9.88747	0	0	100	2	13.94827651977539	100.68537902832031	1.2458211
KQU	คูคต (ช)	ปทุมธานี	47	14.906559	7.3999996	6.5	50	1	0	0	1.201029
LAK	ลาดหลุมแก้ว	ปทุมธานี	85.939995	30.672241	10.37	4.8648467	100	2	14.03113842010498	100.38555908203125	3.794806
LLK	ลำลูกกา 1	ปทุมธานี	107.96	44.51268	0	0	100	2	13.94726276397705	100.78720092773438	5.6085978
LLL	ลำลูกกา 2	ปทุมธานี	0	0	0	0	0	0	0	0	0
MUB	เมืองเอก 2	ปทุมธานี	48.23	17.374931	1.63	1.63	100	2	13.972358703613281	100.61530303955078	2.1891553
NVA	นวนคร 1	ปทุมธานี	48.739998	9.144703	3.5	2.714957	100	2	14.12179946899414	100.6050796508789	1.1509604
NVB	นวนคร 2	ปทุมธานี	19.320002	6.799633	1.42	1.42	50	1	14.09925651550293	100.59764099121094	0.34647205
NVC	นวนคร 3	ปทุมธานี	41.93	10.068078	24.46	4.069717	100	2	14.119035720825195	100.59244537353516	1.26746
NVD	นวนคร 4	ปทุมธานี	70.47	22.037321	11.37	9.726667	100	2	14.115799903869629	100.6101303100586	2.7765446
NVU	นวนนคร 2 (ช)	ปทุมธานี	0	0	0	0	50	1	14.098678588867188	100.59774017333984	0
PQA	ปทุมธานี 1	ปทุมธานี	90.850006	33.03382	10.8	4.930398	100	2	14.041644096374512	100.47438049316406	4.155411
PQB	ปทุมธานี 2	ปทุมธานี	77.1	26.841019	0.48	0.48	100	2	13.956274032592773	100.51277160644531	3.3819637
PQC	ปทุมธานี 3	ปทุมธานี	94.380005	33.095993	7.0299997	3.4291666	100	2	13.9783935546875	100.52433013916016	4.16967
PQD	ปทุมธานี 4	ปทุมธานี	66.24	20.93724	4	2.2399998	100	2	14.064166069030762	100.52314758300781	2.527829
RGA	รังสิต 1	ปทุมธานี	94.72	22.909061	3.62	3.62	100	2	13.982544898986816	100.61846923828125	2.7498143
RGU	รังสิต 2 (ช)	ปทุมธานี	0	0	0.5	0.4999991	25	1	0	0	0
RSA	รังสิตใต้ 1	ปทุมธานี	102.33	34.229763	2.21	2.21	100	2	13.961262702941895	100.64285278320313	4.312889
RSB	รังสิตใต้ 2	ปทุมธานี	0	0	0	0	100	2	13.992677688598633	100.6382064819336	0
SKK	สามโคก	ปทุมธานี	58.93	18.902887	12.43	12.43	100	2	14.108455657958984	100.57079315185547	2.031671
SNO	ไทรน้อย	ปทุมธานี	0	0	0	0	0	0	0	0	0
TMS	ธรรมศาสตร์	ปทุมธานี	81.58001	16.102	9.049999	5.1321807	150	3	14.06714916229248	100.6057357788086	1.5133305
TYA	ธัญบุรี	ปทุมธานี	113.060005	43.33506	7.6000004	6.0575	100	2	13.997767448425293	100.67428588867188	5.4599586
BRA	บุรีรัมย์ 1	บุรีรัมย์	95.9	33.142685	23.01	10.432417	100	2	15.022010803222656	103.1081314086914	3.6032364
BRB	บุรีรัมย์ 2	บุรีรัมย์	63.85	24.260609	23.929998	11.082508	50	1	14.955192565917969	103.07125854492188	2.947058
LHA	ละหานทราย	บุรีรัมย์	0	0	0	0	50	1	14.404021263122559	102.81367492675781	0
LHU	ละหานทราย (ช)	บุรีรัมย์	0	0	0	0	25	1	0	0	0
NAR	นางรอง	บุรีรัมย์	26.939999	9.403747	15.21	10.6013775	50	1	14.624419212341309	102.8701171875	1.1628789
NOK	หนองกี่	บุรีรัมย์	79.71	27.709385	30.11	11.915009	100	2	14.69674301147461	102.50151824951172	2.942822
PVA	ประโคนชัย	บุรีรัมย์	68.490005	23.129908	19.96	7.4912825	100	2	0	0	2.0991025
XTA	สตึก	บุรีรัมย์	27.099998	5.5557213	12.6	7.0247993	50	1	15.271493911743164	103.27079772949219	0.6657238
BSG	บ้านสร้าง	ปราจีนบุรี	71.46999	14.951572	31.720001	10.737015	100	2	14.008354187011719	101.24504852294922	1.6725062
KBI	กบินทร์บุรี 1	ปราจีนบุรี	67.78	15.635085	13.91	4.3848667	100	2	14.073310852050781	101.8272705078125	1.9430685
